"Customer ID#","Account No.","Currency","Type","Balance"
"ID45","BOS8140345","GBP","CURRENT","960484"
"ID46","BOS1211846","AUD","CURRENT","605377"
"ID47","BOS4780847","CHF","CURRENT","557150"
"ID48","BOS6714248","AUD","SAVINGS","889372"
"ID49","BOS154849","AUD","CURRENT","320880"
"ID50","BOS7061750","INR","CURRENT","620626"
"ID51","BOS1975551","CHF","SAVINGS","461873"
"ID52","BOS9521252","USD","CURRENT","796172"
"ID53","BOS2968253","SGD","CURRENT","198997"
"ID54","BOS7051654","HKD","SAVINGS","722669"
"ID55","BOS2827655","SEK","SAVINGS","183921"
"ID56","BOS9440456","SGD","SAVINGS","743046"
"ID57","BOS6712957","AUD","SAVINGS","545796"
"ID58","BOS7182758","EUR","CURRENT","376773"
"ID59","BOS7777359","AUD","CURRENT","509054"
"ID60","BOS3748760","AUD","CURRENT","924169"
"ID61","BOS3587861","HKD","SAVINGS","63809"
"ID62","BOS1758462","CHF","CURRENT","201617"
"ID63","BOS156263","GBP","CURRENT","754426"
"ID64","BOS9588964","CAD","SAVINGS","321232"
"ID65","BOS5033465","SGD","SAVINGS","557232"
"ID66","BOS7077566","SGD","CURRENT","619479"
"ID67","BOS1937667","AUD","CURRENT","372038"
"ID68","BOS4016868","INR","SAVINGS","298117"
"ID69","BOS8470969","SGD","SAVINGS","368761"
"ID70","BOS5862670","GBP","SAVINGS","997835"
"ID71","BOS5456871","GBP","CURRENT","436300"
"ID72","BOS5129172","EUR","SAVINGS","447021"
"ID73","BOS813773","EUR","CURRENT","85639"
"ID74","BOS9407774","CHF","SAVINGS","156022"
"ID75","BOS6531075","CAD","CURRENT","711307"
"ID76","BOS7318476","CAD","CURRENT","992832"
"ID77","BOS1187977","HKD","CURRENT","814862"
"ID78","BOS1688978","EUR","CURRENT","421602"
"ID79","BOS4937779","USD","SAVINGS","635425"
"ID80","BOS2039280","SEK","SAVINGS","286702"
"ID81","BOS806981","CAD","CURRENT","567452"
"ID82","BOS9838582","CAD","CURRENT","918563"
"ID83","BOS492183","CAD","CURRENT","459573"
"ID84","BOS2781684","CAD","SAVINGS","75158"
"ID85","BOS6737485","EUR","CURRENT","842000"
"ID86","BOS9301186","SGD","CURRENT","484987"
"ID87","BOS2488387","SEK","SAVINGS","934008"
"ID88","BOS7778688","USD","CURRENT","263026"
"ID89","BOS7766689","HKD","CURRENT","587235"
"ID90","BOS1963190","USD","CURRENT","297103"
"ID91","BOS5607491","USD","SAVINGS","183763"
"ID92","BOS6183292","EUR","CURRENT","961210"
"ID93","BOS1172593","SEK","CURRENT","362207"
"ID94","BOS4137594","SEK","SAVINGS","264092"
"ID95","BOS9196995","CHF","SAVINGS","710213"
"ID96","BOS1976796","SEK","SAVINGS","909150"
"ID97","BOS1305797","AUD","SAVINGS","243336"
"ID98","BOS9705798","USD","SAVINGS","851754"
"ID99","BOS8483799","CHF","CURRENT","274189"
"ID100","BOS34414100","CAD","SAVINGS","146974"
"ID101","BOS26444101","HKD","SAVINGS","164766"
"ID102","BOS39881102","SEK","SAVINGS","322280"
"ID103","BOS37237103","CHF","SAVINGS","194302"
"ID104","BOS76642104","HKD","SAVINGS","533383"
"ID105","BOS39231105","CAD","CURRENT","218334"
"ID106","BOS57415106","SGD","CURRENT","472914"
"ID107","BOS52982107","AUD","SAVINGS","368372"
"ID108","BOS47443108","SEK","SAVINGS","354227"
"ID109","BOS33219109","SGD","CURRENT","529270"
"ID110","BOS95064110","SEK","CURRENT","876983"
"ID111","BOS1697111","GBP","SAVINGS","328634"
"ID112","BOS58700112","USD","SAVINGS","124840"
"ID113","BOS60867113","SEK","CURRENT","363518"
"ID114","BOS13908114","SEK","CURRENT","839206"
"ID115","BOS39375115","SGD","CURRENT","538351"
"ID116","BOS48946116","USD","CURRENT","865320"
"ID117","BOS52864117","GBP","CURRENT","994162"
"ID118","BOS5073118","USD","CURRENT","171329"
"ID119","BOS44807119","INR","CURRENT","648114"
"ID120","BOS27305120","GBP","CURRENT","36522"
"ID121","BOS61843121","EUR","SAVINGS","356013"
"ID122","BOS22268122","USD","CURRENT","443498"
"ID123","BOS58243123","CHF","SAVINGS","811149"
"ID124","BOS80885124","USD","SAVINGS","372766"
"ID125","BOS91628125","SEK","CURRENT","743968"
"ID126","BOS74729126","USD","SAVINGS","521756"
"ID127","BOS76823127","AUD","SAVINGS","216157"
"ID128","BOS94620128","GBP","CURRENT","897388"
"ID129","BOS21318129","HKD","CURRENT","894270"
"ID130","BOS61960130","CAD","CURRENT","916919"
"ID131","BOS92590131","CAD","SAVINGS","705934"
"ID132","BOS28046132","HKD","SAVINGS","361900"
"ID133","BOS85321133","GBP","SAVINGS","709500"
"ID134","BOS30195134","EUR","SAVINGS","302313"
"ID135","BOS62329135","HKD","CURRENT","659178"
"ID136","BOS51634136","CAD","CURRENT","271095"
"ID137","BOS67648137","AUD","CURRENT","664388"
"ID138","BOS90507138","HKD","CURRENT","386579"
"ID139","BOS45996139","USD","CURRENT","47404"
"ID140","BOS26371140","AUD","CURRENT","212182"
"ID141","BOS56760141","GBP","SAVINGS","319589"
"ID142","BOS49484142","CHF","CURRENT","947019"
"ID143","BOS68904143","SEK","CURRENT","735767"
"ID144","BOS28733144","HKD","SAVINGS","96549"
"ID145","BOS4808145","USD","SAVINGS","725772"
"ID146","BOS93567146","INR","CURRENT","502609"
"ID147","BOS24604147","GBP","SAVINGS","385590"
"ID148","BOS99164148","EUR","SAVINGS","952588"
"ID149","BOS48171149","USD","SAVINGS","655502"
"ID150","BOS24885150","INR","CURRENT","460137"
"ID151","BOS23921151","USD","CURRENT","830565"
"ID152","BOS72768152","CHF","CURRENT","743605"
"ID153","BOS37395153","CAD","SAVINGS","662918"
"ID154","BOS64354154","EUR","SAVINGS","514062"
"ID155","BOS5569155","GBP","CURRENT","872704"
"ID156","BOS75411156","USD","SAVINGS","291204"
"ID157","BOS82539157","AUD","SAVINGS","380569"
"ID158","BOS49458158","AUD","CURRENT","691807"
"ID159","BOS42188159","USD","SAVINGS","539975"
"ID160","BOS46578160","INR","SAVINGS","411044"
"ID161","BOS18074161","GBP","CURRENT","826093"
"ID162","BOS62847162","AUD","SAVINGS","792414"
"ID163","BOS96644163","INR","CURRENT","248584"
"ID164","BOS97984164","CHF","CURRENT","283129"
"ID165","BOS13387165","USD","SAVINGS","434579"
"ID166","BOS67906166","EUR","CURRENT","480523"
"ID167","BOS15642167","INR","SAVINGS","701386"
"ID168","BOS24783168","INR","CURRENT","903231"
"ID169","BOS3355169","CAD","CURRENT","608280"
"ID170","BOS45091170","CAD","SAVINGS","351046"
"ID171","BOS67627171","CAD","CURRENT","158952"
"ID172","BOS17198172","CHF","SAVINGS","569450"
"ID173","BOS40504173","CAD","SAVINGS","907813"
"ID174","BOS50238174","INR","CURRENT","776167"
"ID175","BOS91557175","HKD","CURRENT","119756"
"ID176","BOS89594176","CHF","SAVINGS","300885"
"ID177","BOS99496177","SEK","CURRENT","219719"
"ID178","BOS61785178","AUD","CURRENT","520026"
"ID179","BOS12055179","GBP","CURRENT","491277"
"ID180","BOS7183180","USD","SAVINGS","41316"
"ID181","BOS45331181","AUD","SAVINGS","829432"
"ID182","BOS27327182","SEK","CURRENT","480841"
"ID183","BOS93255183","GBP","SAVINGS","506908"
"ID184","BOS77963184","AUD","SAVINGS","956395"
"ID185","BOS96750185","SEK","CURRENT","658233"
"ID186","BOS27057186","USD","SAVINGS","44114"
"ID187","BOS12490187","CAD","SAVINGS","960664"
"ID188","BOS54512188","HKD","CURRENT","524682"
"ID189","BOS61186189","AUD","SAVINGS","700267"
"ID190","BOS33622190","GBP","CURRENT","596679"
"ID191","BOS12221191","EUR","CURRENT","581495"
"ID192","BOS31421192","HKD","CURRENT","121215"
"ID193","BOS87238193","SEK","SAVINGS","217904"
"ID194","BOS74445194","HKD","SAVINGS","892021"
"ID195","BOS43943195","CAD","CURRENT","190872"
"ID196","BOS8519196","SEK","CURRENT","455426"
"ID197","BOS72142197","INR","CURRENT","790938"
"ID198","BOS87888198","USD","CURRENT","450412"
"ID199","BOS805199","SGD","CURRENT","165693"
"ID200","BOS83354200","SGD","SAVINGS","307644"
"ID201","BOS25111201","INR","SAVINGS","652532"
"ID202","BOS86469202","USD","CURRENT","413464"
"ID203","BOS54752203","EUR","CURRENT","240758"
"ID204","BOS95490204","SEK","CURRENT","170681"
"ID205","BOS36421205","SGD","CURRENT","593257"
"ID206","BOS35961206","EUR","SAVINGS","153205"
"ID207","BOS66352207","EUR","CURRENT","729203"
"ID208","BOS13489208","CHF","SAVINGS","888221"
"ID209","BOS22553209","GBP","SAVINGS","919775"
"ID210","BOS60172210","AUD","CURRENT","241631"
"ID211","BOS17741211","AUD","SAVINGS","938700"
"ID212","BOS29576212","USD","SAVINGS","576759"
"ID213","BOS85030213","EUR","SAVINGS","950681"
"ID214","BOS92869214","HKD","SAVINGS","465775"
"ID215","BOS61201215","AUD","SAVINGS","249119"
"ID216","BOS79064216","SGD","CURRENT","683485"
"ID217","BOS21095217","INR","SAVINGS","491548"
"ID218","BOS23574218","INR","SAVINGS","156202"
"ID219","BOS62094219","SGD","SAVINGS","919385"
"ID220","BOS75453220","SGD","SAVINGS","794637"
"ID221","BOS42233221","EUR","SAVINGS","243007"
"ID222","BOS77095222","SEK","SAVINGS","895677"
"ID223","BOS71511223","SGD","SAVINGS","483652"
"ID224","BOS53966224","GBP","SAVINGS","964658"
"ID225","BOS83433225","SEK","SAVINGS","406075"
"ID226","BOS94485226","SGD","SAVINGS","390735"
"ID227","BOS18237227","HKD","CURRENT","709270"
"ID228","BOS61791228","CHF","CURRENT","420578"
"ID229","BOS41895229","AUD","CURRENT","215786"
"ID230","BOS14894230","SGD","CURRENT","414131"
"ID231","BOS98035231","USD","SAVINGS","278221"
"ID232","BOS4360232","SGD","CURRENT","540731"
"ID233","BOS77228233","CHF","SAVINGS","388863"
"ID234","BOS18936234","SGD","CURRENT","836011"
"ID235","BOS22856235","SGD","SAVINGS","782862"
"ID236","BOS32280236","EUR","CURRENT","757854"
"ID237","BOS60229237","GBP","SAVINGS","19380"
"ID238","BOS19356238","SEK","SAVINGS","621726"
"ID239","BOS74849239","INR","SAVINGS","550472"
"ID240","BOS60393240","GBP","CURRENT","497995"
"ID241","BOS80986241","GBP","SAVINGS","496022"
"ID242","BOS14798242","GBP","SAVINGS","629941"
"ID243","BOS42691243","USD","SAVINGS","189288"
"ID244","BOS89052244","EUR","CURRENT","731025"
"ID245","BOS77667245","SGD","SAVINGS","95898"
"ID246","BOS2034246","AUD","SAVINGS","921362"
"ID247","BOS28890247","INR","CURRENT","110718"
"ID248","BOS63285248","USD","SAVINGS","864498"
"ID249","BOS81208249","EUR","SAVINGS","656294"
"ID250","BOS46628250","CAD","SAVINGS","215977"
"ID251","BOS85101251","CHF","CURRENT","543333"
"ID252","BOS50531252","INR","SAVINGS","579070"
"ID253","BOS5605253","HKD","SAVINGS","278210"
"ID254","BOS3723254","EUR","CURRENT","812379"
"ID255","BOS40148255","CAD","SAVINGS","994552"
"ID256","BOS8373256","INR","CURRENT","803174"
"ID257","BOS29977257","SGD","CURRENT","939176"
"ID258","BOS58731258","INR","CURRENT","315337"
"ID259","BOS75613259","CHF","CURRENT","147374"
"ID260","BOS83790260","SEK","CURRENT","689727"
"ID261","BOS9264261","CHF","CURRENT","782361"
"ID262","BOS24912262","SGD","CURRENT","604559"
"ID263","BOS8203263","USD","CURRENT","898124"
"ID264","BOS18846264","USD","CURRENT","481356"
"ID265","BOS90191265","USD","SAVINGS","131015"
"ID266","BOS87948266","SEK","SAVINGS","779486"
"ID267","BOS41542267","INR","CURRENT","318491"
"ID268","BOS54929268","HKD","SAVINGS","893129"
"ID269","BOS28128269","CAD","SAVINGS","319434"
"ID270","BOS37837270","HKD","SAVINGS","930087"
"ID271","BOS65204271","SEK","CURRENT","193629"
"ID272","BOS76538272","GBP","CURRENT","277483"
"ID273","BOS52836273","SEK","SAVINGS","570444"
"ID274","BOS68965274","INR","CURRENT","295043"
"ID275","BOS46147275","HKD","SAVINGS","364063"
"ID276","BOS7210276","SEK","SAVINGS","940985"
"ID277","BOS1038277","USD","SAVINGS","307482"
"ID278","BOS12865278","HKD","SAVINGS","609922"
"ID279","BOS74429279","CAD","CURRENT","624501"
"ID280","BOS21717280","INR","CURRENT","117770"
"ID281","BOS84894281","SEK","CURRENT","426470"
"ID282","BOS32662282","CHF","SAVINGS","842208"
"ID283","BOS58247283","EUR","CURRENT","234159"
"ID284","BOS62039284","CHF","CURRENT","474660"
"ID285","BOS36987285","CHF","CURRENT","579133"
"ID286","BOS14094286","EUR","CURRENT","651200"
"ID287","BOS19343287","EUR","CURRENT","972746"
"ID288","BOS76013288","USD","SAVINGS","518894"
"ID289","BOS45292289","INR","CURRENT","451018"
"ID290","BOS3343290","CHF","CURRENT","492397"
"ID291","BOS71565291","SEK","SAVINGS","46927"
"ID292","BOS24311292","SGD","CURRENT","745905"
"ID293","BOS88807293","EUR","CURRENT","562250"
"ID294","BOS71546294","AUD","SAVINGS","739640"
"ID295","BOS84766295","CAD","SAVINGS","102202"
"ID296","BOS29843296","CHF","SAVINGS","148523"
"ID297","BOS11759297","SEK","SAVINGS","837920"
"ID298","BOS23745298","CHF","SAVINGS","756040"
"ID299","BOS13189299","SEK","CURRENT","808994"
"ID300","BOS48453300","CAD","CURRENT","332366"
"ID301","BOS95864301","AUD","SAVINGS","1950"
"ID302","BOS48722302","HKD","CURRENT","485724"
"ID303","BOS52322303","CAD","CURRENT","821753"
"ID304","BOS44702304","HKD","SAVINGS","193623"
"ID305","BOS94993305","SEK","SAVINGS","301332"
"ID306","BOS97319306","EUR","SAVINGS","352142"
"ID307","BOS2728307","HKD","CURRENT","922809"
"ID308","BOS48619308","SEK","SAVINGS","442236"
"ID309","BOS76805309","GBP","SAVINGS","143610"
"ID310","BOS10788310","GBP","CURRENT","978505"
"ID311","BOS62858311","GBP","SAVINGS","804216"
"ID312","BOS91033312","EUR","SAVINGS","272785"
"ID313","BOS34184313","SGD","CURRENT","176387"
"ID314","BOS94997314","HKD","SAVINGS","310414"
"ID315","BOS25981315","USD","SAVINGS","757607"
"ID316","BOS89799316","HKD","CURRENT","197178"
"ID317","BOS47981317","CHF","SAVINGS","567898"
"ID318","BOS84247318","SGD","SAVINGS","343138"
"ID319","BOS40052319","GBP","CURRENT","996854"
"ID320","BOS95766320","INR","SAVINGS","855688"
"ID321","BOS85698321","CHF","CURRENT","76830"
"ID322","BOS37204322","AUD","SAVINGS","348066"
"ID323","BOS44723323","EUR","CURRENT","940373"
"ID324","BOS78334324","AUD","SAVINGS","739743"
"ID325","BOS44725325","GBP","SAVINGS","279131"
"ID326","BOS82589326","USD","SAVINGS","181089"
"ID327","BOS84895327","EUR","CURRENT","928124"
"ID328","BOS26841328","EUR","CURRENT","209379"
"ID329","BOS4396329","GBP","SAVINGS","718367"
"ID330","BOS20163330","GBP","CURRENT","228794"
"ID331","BOS28896331","CHF","SAVINGS","38514"
"ID332","BOS55997332","CAD","SAVINGS","421150"
"ID333","BOS4766333","GBP","CURRENT","579673"
"ID334","BOS14794334","GBP","SAVINGS","883847"
"ID335","BOS69252335","USD","CURRENT","185246"
"ID336","BOS12268336","EUR","CURRENT","131576"
"ID337","BOS96227337","INR","SAVINGS","357866"
"ID338","BOS35854338","USD","SAVINGS","150505"
"ID339","BOS74197339","SGD","SAVINGS","255676"
"ID340","BOS88244340","INR","CURRENT","984888"
"ID341","BOS79325341","CAD","SAVINGS","447143"
"ID342","BOS8778342","CAD","SAVINGS","202936"
"ID343","BOS7854343","USD","CURRENT","815229"
"ID344","BOS76918344","AUD","CURRENT","247073"
"ID345","BOS54629345","USD","CURRENT","255489"
"ID346","BOS70051346","CHF","CURRENT","998044"
"ID347","BOS5229347","GBP","SAVINGS","777708"
"ID348","BOS60051348","GBP","CURRENT","183071"
"ID349","BOS35872349","EUR","CURRENT","297880"
"ID350","BOS58857350","INR","CURRENT","474329"
"ID351","BOS46906351","CAD","SAVINGS","853511"
"ID352","BOS44613352","AUD","SAVINGS","201863"
"ID353","BOS15024353","SEK","CURRENT","54682"
"ID354","BOS20095354","HKD","SAVINGS","981393"
"ID355","BOS72813355","SGD","SAVINGS","467732"
"ID356","BOS4068356","GBP","SAVINGS","676057"
"ID357","BOS54345357","INR","CURRENT","621949"
"ID358","BOS93768358","CAD","SAVINGS","224425"
"ID359","BOS60965359","INR","SAVINGS","750423"
"ID360","BOS51829360","SGD","SAVINGS","606107"
"ID361","BOS67736361","AUD","CURRENT","73038"
"ID362","BOS52814362","HKD","SAVINGS","364209"
"ID363","BOS37013363","CHF","CURRENT","556131"
"ID364","BOS52467364","SEK","CURRENT","924121"
"ID365","BOS55251365","INR","CURRENT","166607"
"ID366","BOS40822366","AUD","CURRENT","493511"
"ID367","BOS85384367","EUR","SAVINGS","381870"
"ID368","BOS58116368","CHF","SAVINGS","587942"
"ID369","BOS66464369","CHF","SAVINGS","989878"
"ID370","BOS28397370","SEK","CURRENT","588502"
"ID371","BOS98971371","USD","SAVINGS","222220"
"ID372","BOS12010372","HKD","SAVINGS","633957"
"ID373","BOS40504373","SEK","SAVINGS","889252"
"ID374","BOS37512374","SEK","CURRENT","941684"
"ID375","BOS63090375","SEK","CURRENT","129052"
"ID376","BOS26473376","GBP","CURRENT","962549"
"ID377","BOS6580377","HKD","SAVINGS","561252"
"ID378","BOS82446378","INR","CURRENT","429123"
"ID379","BOS80144379","AUD","CURRENT","985521"
"ID380","BOS87128380","EUR","SAVINGS","503354"
"ID381","BOS30394381","AUD","CURRENT","645908"
"ID382","BOS48130382","SEK","CURRENT","622452"
"ID383","BOS71366383","HKD","CURRENT","533369"
"ID384","BOS99469384","AUD","SAVINGS","181501"
"ID385","BOS51722385","GBP","SAVINGS","803827"
"ID386","BOS70810386","HKD","CURRENT","921034"
"ID387","BOS73239387","INR","SAVINGS","969032"
"ID388","BOS95469388","USD","SAVINGS","896622"
"ID389","BOS54869389","INR","SAVINGS","182841"
"ID390","BOS86003390","CHF","CURRENT","368453"
"ID391","BOS39391","SGD","SAVINGS","575580"
"ID392","BOS22046392","AUD","SAVINGS","881374"
"ID393","BOS60673393","GBP","CURRENT","241627"
"ID394","BOS54774394","INR","SAVINGS","7675"
"ID395","BOS84584395","INR","SAVINGS","948626"
"ID396","BOS91416396","SGD","SAVINGS","51046"
"ID397","BOS66257397","GBP","SAVINGS","803149"
"ID398","BOS6488398","INR","SAVINGS","838577"
"ID399","BOS54017399","EUR","CURRENT","14360"
"ID400","BOS68783400","SEK","SAVINGS","74344"
"ID401","BOS33199401","USD","CURRENT","739180"
"ID402","BOS27279402","HKD","CURRENT","308858"
"ID403","BOS83264403","USD","CURRENT","304299"
"ID404","BOS79048404","SEK","SAVINGS","145918"
"ID405","BOS49526405","CHF","CURRENT","804992"
"ID406","BOS76713406","INR","CURRENT","952737"
"ID407","BOS94599407","SGD","CURRENT","901111"
"ID408","BOS75606408","CHF","CURRENT","315523"
"ID409","BOS49608409","EUR","CURRENT","427575"
"ID410","BOS56281410","SGD","CURRENT","349867"
"ID411","BOS11382411","HKD","SAVINGS","585222"
"ID412","BOS36722412","SGD","CURRENT","14729"
"ID413","BOS87450413","SEK","CURRENT","316956"
"ID414","BOS34670414","AUD","CURRENT","525450"
"ID415","BOS90746415","EUR","CURRENT","297527"
"ID416","BOS12100416","SEK","SAVINGS","769916"
"ID417","BOS77538417","INR","CURRENT","283156"
"ID418","BOS44111418","CHF","SAVINGS","409176"
"ID419","BOS83700419","INR","SAVINGS","63959"
"ID420","BOS37168420","EUR","CURRENT","476371"
"ID421","BOS41499421","GBP","SAVINGS","382851"
"ID422","BOS44586422","SEK","SAVINGS","161124"
"ID423","BOS73524423","CAD","SAVINGS","252909"
"ID424","BOS68284424","CAD","CURRENT","121859"
"ID425","BOS13182425","INR","SAVINGS","316796"
"ID426","BOS90984426","CAD","CURRENT","501610"
"ID427","BOS54097427","GBP","SAVINGS","931858"
"ID428","BOS81404428","SEK","SAVINGS","155081"
"ID429","BOS70602429","GBP","SAVINGS","210860"
"ID430","BOS82912430","AUD","CURRENT","808154"
"ID431","BOS12353431","CAD","SAVINGS","499407"
"ID432","BOS56864432","AUD","SAVINGS","297552"
"ID433","BOS8756433","CHF","CURRENT","188208"
"ID434","BOS4505434","GBP","CURRENT","650910"
"ID435","BOS80509435","INR","SAVINGS","719197"
"ID436","BOS60459436","GBP","SAVINGS","513891"
"ID437","BOS96218437","SEK","CURRENT","663752"
"ID438","BOS12512438","HKD","CURRENT","258439"
"ID439","BOS68401439","AUD","SAVINGS","56798"
"ID440","BOS53541440","CAD","SAVINGS","707893"
"ID441","BOS17671441","GBP","CURRENT","158316"
"ID442","BOS46770442","SEK","CURRENT","272735"
"ID443","BOS75634443","SGD","SAVINGS","90144"
"ID444","BOS22763444","GBP","SAVINGS","577187"
"ID445","BOS96830445","SEK","CURRENT","303293"
"ID446","BOS47233446","EUR","SAVINGS","232501"
"ID447","BOS37252447","SGD","SAVINGS","472855"
"ID448","BOS14469448","SEK","CURRENT","193507"
"ID449","BOS23671449","SEK","SAVINGS","769736"
"ID450","BOS38069450","GBP","CURRENT","161336"
"ID451","BOS27271451","SEK","CURRENT","152514"
"ID452","BOS26198452","EUR","CURRENT","783030"
"ID453","BOS41331453","HKD","SAVINGS","157785"
"ID454","BOS82211454","INR","SAVINGS","882175"
"ID455","BOS93926455","GBP","CURRENT","413959"
"ID456","BOS46418456","EUR","SAVINGS","880521"
"ID457","BOS50142457","CAD","SAVINGS","777341"
"ID458","BOS88364458","CHF","CURRENT","565792"
"ID459","BOS97568459","EUR","CURRENT","471131"
"ID460","BOS19180460","EUR","CURRENT","732877"
"ID461","BOS35778461","SEK","CURRENT","494787"
"ID462","BOS59731462","CHF","CURRENT","111953"
"ID463","BOS52509463","EUR","CURRENT","436220"
"ID464","BOS13247464","HKD","SAVINGS","705656"
"ID465","BOS4763465","SGD","SAVINGS","520594"
"ID466","BOS83528466","CHF","CURRENT","781988"
"ID467","BOS58249467","INR","CURRENT","635904"
"ID468","BOS86798468","SGD","CURRENT","995012"
"ID469","BOS52894469","EUR","SAVINGS","420793"
"ID470","BOS74586470","SEK","SAVINGS","69955"
"ID471","BOS15885471","SGD","SAVINGS","525442"
"ID472","BOS46572472","CAD","CURRENT","283092"
"ID473","BOS83007473","EUR","SAVINGS","855639"
"ID474","BOS40437474","CAD","CURRENT","903109"
"ID475","BOS1741475","EUR","CURRENT","999444"
"ID476","BOS39809476","AUD","CURRENT","96397"
"ID477","BOS21714477","CHF","SAVINGS","869928"
"ID478","BOS68288478","CAD","CURRENT","684219"
"ID479","BOS55809479","EUR","CURRENT","759498"
"ID480","BOS9176480","SEK","CURRENT","492293"
"ID481","BOS71391481","USD","SAVINGS","426697"
"ID482","BOS84086482","SEK","SAVINGS","347639"
"ID483","BOS23582483","SEK","SAVINGS","31496"
"ID484","BOS10513484","USD","SAVINGS","571942"
"ID485","BOS55003485","EUR","CURRENT","590518"
"ID486","BOS3416486","SEK","CURRENT","40781"
"ID487","BOS98027487","SEK","SAVINGS","841536"
"ID488","BOS68723488","USD","CURRENT","758122"
"ID489","BOS67030489","INR","CURRENT","149983"
"ID490","BOS4276490","EUR","SAVINGS","491764"
"ID491","BOS109491","USD","CURRENT","354559"
"ID492","BOS69399492","SGD","CURRENT","62750"
"ID493","BOS61630493","CHF","SAVINGS","422193"
"ID494","BOS99225494","USD","CURRENT","833291"
"ID495","BOS47792495","GBP","CURRENT","405641"
"ID496","BOS16369496","AUD","SAVINGS","575521"
"ID497","BOS64328497","EUR","SAVINGS","420386"
"ID498","BOS69518498","CHF","CURRENT","806210"
"ID499","BOS94335499","USD","CURRENT","808797"
"ID500","BOS87464500","EUR","SAVINGS","291415"
"ID501","BOS64039501","CHF","SAVINGS","939687"
"ID502","BOS71547502","USD","CURRENT","5152"
"ID503","BOS69181503","AUD","CURRENT","891329"
"ID504","BOS60018504","SGD","CURRENT","411873"
"ID505","BOS91908505","SEK","CURRENT","728465"
"ID506","BOS5143506","GBP","SAVINGS","242440"
"ID507","BOS45159507","AUD","SAVINGS","356651"
"ID508","BOS55279508","AUD","SAVINGS","545954"
"ID509","BOS48643509","SEK","SAVINGS","790420"
"ID510","BOS28512510","AUD","CURRENT","866653"
"ID511","BOS266511","GBP","SAVINGS","117229"
"ID512","BOS50207512","HKD","CURRENT","297703"
"ID513","BOS73334513","CHF","CURRENT","221740"
"ID514","BOS31730514","INR","SAVINGS","137275"
"ID515","BOS30165515","INR","CURRENT","474015"
"ID516","BOS78549516","USD","SAVINGS","281596"
"ID517","BOS93401517","CAD","SAVINGS","289727"
"ID518","BOS19663518","SGD","CURRENT","757772"
"ID519","BOS71502519","INR","CURRENT","307988"
"ID520","BOS44309520","GBP","SAVINGS","965210"
"ID521","BOS71627521","AUD","CURRENT","575673"
"ID522","BOS60704522","SEK","SAVINGS","423315"
"ID523","BOS74537523","AUD","CURRENT","183440"
"ID524","BOS99480524","SGD","SAVINGS","301290"
"ID525","BOS58892525","INR","CURRENT","242048"
"ID526","BOS72733526","SGD","SAVINGS","267557"
"ID527","BOS32912527","SGD","CURRENT","236583"
"ID528","BOS14088528","SGD","CURRENT","884"
"ID529","BOS98303529","GBP","CURRENT","512298"
"ID530","BOS86228530","EUR","CURRENT","649939"
"ID531","BOS40529531","CAD","SAVINGS","770923"
